lead_sk,lead_id,first_name,last_name,job_title,company_name,industry,location,target_segment,created_at
1,LEAD-0001,LeadFirst_1,LeadLast_1,Head of Growth,Acme Cloud,Artificial Intelligence,"Bengaluru, India",Healthcare,2026-08-19 13:16:42
2,LEAD-0002,LeadFirst_2,LeadLast_2,CTO,Stripewave,Cybersecurity,"Berlin, Germany",Enterprise Tech,2026-08-19 13:16:42
3,LEAD-0003,LeadFirst_3,LeadLast_3,CTO,OmniScale,Cybersecurity,"Bengaluru, India",Healthcare,2026-08-19 13:16:42
4,LEAD-0004,LeadFirst_4,LeadLast_4,Chief Revenue Officer,NovaHealth,Artificial Intelligence,"New York, NY",Startups,2026-08-19 13:16:42
5,LEAD-0005,LeadFirst_5,LeadLast_5,CTO,Acme Cloud,Financial Services,"Bengaluru, India",Healthcare,2026-08-19 13:16:42
6,LEAD-0006,LeadFirst_6,LeadLast_6,CTO,Acme Cloud,Software & SaaS,"Berlin, Germany",Enterprise Tech,2026-08-19 13:16:42
7,LEAD-0007,LeadFirst_7,LeadLast_7,CTO,FinFlow AI,Financial Services,"Berlin, Germany",Startups,2026-08-19 13:16:42
8,LEAD-0008,LeadFirst_8,LeadLast_8,Director of Product,NovaHealth,Cybersecurity,"London, UK",Startups,2026-08-19 13:16:42
9,LEAD-0009,LeadFirst_9,LeadLast_9,Head of Growth,CyberShield,Financial Services,"Berlin, Germany",Enterprise Tech,2026-08-19 13:16:42
10,LEAD-0010,LeadFirst_10,LeadLast_10,CTO,Stripewave,Cybersecurity,"San Francisco, CA",Healthcare,2026-08-19 13:16:42
11,LEAD-0011,LeadFirst_11,LeadLast_11,Chief Revenue Officer,FinFlow AI,Artificial Intelligence,"London, UK",Enterprise Tech,2026-08-19 13:16:42
12,LEAD-0012,LeadFirst_12,LeadLast_12,Chief Revenue Officer,FinFlow AI,Artificial Intelligence,"New York, NY",Enterprise Tech,2026-08-19 13:16:42
13,LEAD-0013,LeadFirst_13,LeadLast_13,CTO,FinFlow AI,Software & SaaS,"London, UK",Startups,2026-08-19 13:16:42
14,LEAD-0014,LeadFirst_14,LeadLast_14,Chief Revenue Officer,Dataprism,Cybersecurity,"Bengaluru, India",Startups,2026-08-19 13:16:42
15,LEAD-0015,LeadFirst_15,LeadLast_15,Founder & CEO,Dataprism,Cybersecurity,"San Francisco, CA",Startups,2026-08-19 13:16:42
16,LEAD-0016,LeadFirst_16,LeadLast_16,VP of Sales,CyberShield,HealthTech,"San Francisco, CA",Enterprise Tech,2026-08-19 13:16:42
17,LEAD-0017,LeadFirst_17,LeadLast_17,Chief Revenue Officer,Stripewave,HealthTech,"Bengaluru, India",Healthcare,2026-08-19 13:16:42
